,Unnamed: 0,mar_diminutif,tunnel,prdp_code,prod_groupe,ref_prix,freq_annuelle,ajust_freq_suppl,frq_totale,nb_equipe,cout_ht,cout_total,equipements,nomb_equipe
79,79,ContReg,Boissy,CRGDLB102,Vérification des dispositifs de levage,CRC102,1.0,0.0,1.0,0.0,864.8,0.0,Dispositif de levage inférieur compris entre 3 et 6 tonnes,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Dispositif de levage inférieur compris entre 3 et 6 tonnes"")"
80,80,ContReg,Boissy,CRGDLC103,Vérification des dispositifs de levage,CRC103,1.0,0.0,1.0,0.0,1081.0,0.0,Dispositif de levage inférieur supérieur à 6 tonnes,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Dispositif de levage inférieur supérieur à 6 tonnes"")"
81,81,Eclairage,Boissy,ECLNPE005,Nettoyage des plots de jalonnement pour un sens,ECPE05,2.0,0.0,2.0,2.0,325.8,1303.2,,2.0
82,82,Eclairage,Boissy,ECLNEE018,Nettoyage de l'éclairage pour un sens,ECPE18,2.0,0.0,2.0,2.0,3286.99,13147.96,,2.0
83,83,Eclairage,Boissy,ECLRSE066,Remplacement systématiques des sources,ECPE66,0.4,0.0,0.4,2.0,1053.36,842.69,,2.0
84,84,Eclairage,Boissy,ECLRSE068,Remplacement systématiques des sources,ECPE68,0.4,0.0,0.4,2.0,2701.38,2161.1,,2.0
85,85,Eclairage,Boissy,ECLRSE069,Remplacement systématiques des sources,ECPE69,0.4,0.0,0.4,2.0,4247.45,3397.96,,2.0
86,86,AEV,Boissy,AEVEFE016,Essais fonctionnels pour un sens,AEFE16,2.0,0.0,2.0,2.0,577.71,2310.84,,2.0
87,87,AEV,Boissy,AEVMPE026,Maintenance préventive pour un sens,AEPE26,2.0,0.0,2.0,2.0,1090.66,4362.64,,2.0
88,88,AEV,Boissy,AEVPLV008,Maintenance préventive prises/coffret pompier,AEV08,1.0,0.0,1.0,32.0,61.7,1974.4,Niche sécurité,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Niche sécurité"")"
89,89,Automate,Boissy,AUTPAB027,Préventif automates principaux et baies MESD (fiche n°3 du CCTP),AUPR27,1.0,0.0,1.0,1.0,320.77594,320.78,,1.0
90,90,Automate,Boissy,AUTPAR028,Préventif armoires MESD (fiche n°4 du CCTP),AUPR28,1.0,0.0,1.0,1.0,1152.14061,1152.14,MESD METIER,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""MESD METIER"")"
91,91,Automate,Boissy,AUTPAM047,Préventif automates métier (fiche n°5 du CCTP),AUPR47,1.0,0.0,1.0,3.0,202.4713,607.41,AUTOMATE METIER,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""AUTOMATE METIER"")"
92,92,Automate,Boissy,AUTPAR048,Préventif armoires MESD (fiche n°4 du CCTP),AUPR48,1.0,0.0,1.0,9.0,91.39855,822.59,MESD METIER,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""MESD METIER"")"
93,93,PAU/TSE,Boissy,RTSPPE001,Maintenance préventive de l'ensemble des PAU du tunnel,RAU-PE01,4.0,0.0,4.0,1.0,700.25,2801.0,,1.0
94,94,PAU/TSE,Boissy,RTSPTE001,Maintenance préventive de l'ensemble des TSE du tunnel,TSE-PE01,4.0,0.0,4.0,1.0,359.87,1439.48,,1.0
95,95,Onduleur,Boissy,ONDPOA001,Maintenance préventive d'un onduleur,ONP001,1.0,0.0,1.0,0.0,304.01,0.0,Maintenance préventive Onduleur ≤ 60 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur ≤ 60 kVA"")"
96,96,Onduleur,Boissy,ONDPOB002,Maintenance préventive d'un onduleur,ONP002,1.0,0.0,1.0,0.0,337.95,0.0,Maintenance préventive Onduleur 61 kVA --> 160 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur 61 kVA --> 160 kVA"")"
97,97,Onduleur,Boissy,ONDPOC003,Maintenance préventive d'un onduleur,ONP003,1.0,0.0,1.0,1.0,371.88,371.88,Maintenance préventive Onduleur > 160 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur > 160 kVA"")"
98,98,Onduleur,Boissy,ONDMPA004,Maintenance préventive d'un atelier d'énergie,ONP004,1.0,0.0,1.0,1.0,185.94,185.94,,1.0
99,99,Onduleur,Boissy,ONDPLV005,Plus-value pour dépollution,ONP005,0.5,0.0,0.5,1.0,414.3,207.15,,1.0
100,100,Détection,Boissy,DETPCA017,"Préventif d'un tube des capteurs atmosphériques (opacimètres, CO, NO, NO², smokecheck, anémomètres)",DEP017,4.0,0.0,4.0,2.0,3034.5,24276.0,,2.0
101,101,Détection,Boissy,DETPLV027,Préventif luminancemètre,DEP027,1.0,0.0,1.0,2.0,24.15,48.3,LUMANDAR+LUMINANCEMETRE,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""LUMANDAR+LUMINANCEMETRE"")"
102,102,Détection,Boissy,DETPDI100,Préventif détection incendie,DEP100,1.0,0.0,1.0,1.0,347.55,347.55,,1.0
103,103,Détection,Boissy,DETPXA200,Préventif extincteur,DEP200,1.0,0.0,1.0,0.0,33.6,0.0,Maintenance Préventive Extincteur Poudre 6 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Poudre 6 kg"")"
104,104,Détection,Boissy,DETPXB201,Préventif extincteur,DEP201,1.0,0.0,1.0,0.0,21.0,0.0,Maintenance Préventive Extincteur Poudre 9 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Poudre 9 kg"")"
105,105,Détection,Boissy,DETPXC202,Préventif extincteur,DEP202,1.0,0.0,1.0,0.0,36.75,0.0,Maintenance Préventive Extincteur Poudre 50 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Poudre 50 kg"")"
106,106,Détection,Boissy,DETPXD203,Préventif extincteur,DEP203,1.0,0.0,1.0,26.0,15.75,409.5,Maintenance Préventive Extincteur Eau 6 L,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Eau 6 L"")"
107,107,Détection,Boissy,DETPXE204,Préventif extincteur,DEP204,1.0,0.0,1.0,0.0,23.1,0.0,Maintenance Préventive Extincteur Eau 9 L,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Eau 9 L"")"
108,108,Détection,Boissy,DETPXF204,Préventif extincteur,DEP205,1.0,0.0,1.0,10.0,26.25,262.5,Maintenance Préventive Extincteur CO2 2 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur CO2 2 kg"")"
109,109,Détection,Boissy,DETPXG206,Préventif extincteur,DEP206,1.0,0.0,1.0,0.0,15.75,0.0,Maintenance Préventive Extincteur CO2 5 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur CO2 5 kg"")"
110,110,Ventilation,Boissy,VENPEE204,Préventif des équipements de ventilation,VPE204,1.0,0.0,1.0,1.0,8421.59,8421.59,,1.0
111,111,Ventilation,Boissy,VENPQA300,Maintenance préventive des équipements spécifiques,VPT300,1.0,0.0,1.0,8.0,78.85,630.8,SURPRESSEUR ET VENTILATEUR LOCAL,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""SURPRESSEUR ET VENTILATEUR LOCAL"")"
112,112,Ventilation,Boissy,VENPQB301,Maintenance préventive des équipements spécifiques,VPT301,1.0,0.0,1.0,0.0,128.27,0.0,REGISTRE,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""REGISTRE"")"
113,113,Ventilation,Boissy,VENPQC302,Maintenance préventive des équipements spécifiques,VPT302,1.0,0.0,1.0,0.0,449.49,0.0,,0.0
114,114,Ventilation,Boissy,VENPQE304,Maintenance préventive des équipements spécifiques,VPT304,1.0,0.0,1.0,0.0,12.58,0.0,,0.0
115,115,Ventilation,Boissy,VENPQF305,Maintenance préventive des équipements spécifiques,VPT305,1.0,0.0,1.0,0.0,12.58,0.0,,0.0
116,116,Vidéo,Boissy,,Maintenance préventive de la DAI du sens 1,VI MP 200,1.0,0.0,1.0,1.0,893.87,893.87,,1.0
