,tunnel,mar_diminutif,prdp_code,prod_groupe,ref_prix,form_typ,frq_totale,nb_equipe,coeff,cout_ht,cout_total
145,Moulin,Bâtiment,BATCNE006,Contrôle des IS + niches de nuit,VNE006,sum_2,6.0,0.5,1.0,2611.0,7833.0
146,Moulin,Bâtiment,BATMPE005,Préventif IS + niches,MPE005,sum_2,1.0,0.5,1.0,2815.0,1407.5
147,Moulin,Bâtiment,BATMPE006,Préventif IS + niches,MPE006,sum_2,1.0,0.5,1.0,2815.0,1407.5
148,Moulin,Propreté,PRPLTB016,Lavage d'un tube,POL016,direct_reference,2.0,1.0,1.0,10734.42,21468.84
149,Moulin,ContReg,CRGVPA106,Vérification des installations électriques,CRC106,direct_reference,1.0,1.0,1.0,486.45,486.45
150,Moulin,ContReg,CRGVPA107,Vérification des installations électriques,CRC107,direct_reference,1.0,1.0,1.0,864.8,864.8
151,Moulin,ContReg,CRGVIE105,Vérification des installations électriques,CRE105,sum_2,1.0,0.5,1.0,864.8,432.4
152,Moulin,ContReg,CRGVIE106,Vérification des installations électriques,CRE106,sum_2,1.0,0.5,1.0,864.8,432.4
153,Moulin,ContReg,CRGDLA101,Vérification des dispositifs de levage,CRC101,direct_reference,1.0,0.0,1.0,648.6,0.0
154,Moulin,ContReg,CRGDLB102,Vérification des dispositifs de levage,CRC102,direct_reference,1.0,1.0,1.0,864.8,864.8
155,Moulin,ContReg,CRGDLC103,Vérification des dispositifs de levage,CRC103,direct_reference,1.0,0.0,1.0,1081.0,0.0
156,Moulin,Eclairage,ECLNPE001,Nettoyage des plots de jalonnement pour un sens,ECPE01,direct_reference,2.0,1.0,1.0,855.21,1710.42
157,Moulin,Eclairage,ECLNEE010,Nettoyage de l'éclairage pour un sens,ECPE10,direct_reference,2.0,1.0,1.0,15985.44,31970.88
158,Moulin,Eclairage,ECLRSE050,Remplacement systématiques des sources,ECPE50,sum_3,0.4,1.0,1.0,28406.97,11362.79
159,Moulin,Eclairage,ECLRSE054,Remplacement systématiques des sources,ECPE54,sum_3,0.4,1.0,1.0,17737.38,7094.95
160,Moulin,Eclairage,ECLRSE056,Remplacement systématiques des sources,ECPE56,sum_3,0.4,1.0,1.0,27455.54,10982.22
161,Moulin,AEV,AEVEFE010,Essais fonctionnels pour un sens,AEFE10,direct_reference,2.0,1.0,1.0,1005.24,2010.48
162,Moulin,AEV,AEVMPE020,Maintenance préventive pour un sens,AEPE20,direct_reference,2.0,1.0,1.0,3016.89,6033.78
163,Moulin,AEV,AEVPLV008,Maintenance préventive prises/coffret pompier,AEV08,direct_reference,1.0,8.0,1.0,61.7,493.6
164,Moulin,Automate,AUTPAB031,Préventif automates principaux et baies MESD (fiche n°3 du CCTP),AUPR31,direct_reference,1.0,0.5,1.0,397.10535,198.55
165,Moulin,Automate,AUTPAR032,Préventif armoires MESD (fiche n°4 du CCTP),AUPR32,direct_reference,1.0,0.5,1.0,1450.62633,725.31
166,Moulin,Automate,AUTPAM047,Préventif automates métier (fiche n°5 du CCTP),AUPR47,direct_reference,1.0,0.0,1.0,202.4713,0.0
167,Moulin,Automate,AUTPAR048,Préventif armoires MESD (fiche n°4 du CCTP),AUPR48,direct_reference,1.0,0.0,1.0,91.39855,0.0
168,Moulin,PAU/TSE,RTSPPE004,Maintenance préventive de l'ensemble des PAU du tunnel,RAU-PE04,direct_reference,4.0,0.5,1.0,1552.88,3105.76
169,Moulin,PAU/TSE,RTSPTE004,Maintenance préventive de l'ensemble des TSE du tunnel,TSE-PE04,direct_reference,4.0,0.5,1.0,944.66,1889.32
170,Moulin,Onduleur,ONDPOA001,Maintenance préventive d'un onduleur,ONP001,direct_reference,1.0,0.0,1.0,304.01,0.0
171,Moulin,Onduleur,ONDPOB002,Maintenance préventive d'un onduleur,ONP002,direct_reference,1.0,1.0,1.0,337.95,337.95
172,Moulin,Onduleur,ONDPOC003,Maintenance préventive d'un onduleur,ONP003,direct_reference,1.0,1.0,1.0,371.88,371.88
173,Moulin,Onduleur,ONDMPA004,Maintenance préventive d'un atelier d'énergie,ONP004,direct_reference,1.0,0.0,1.0,185.94,0.0
174,Moulin,Onduleur,ONDPLV005,Plus-value pour dépollution,ONP005,direct_reference,0.5,1.0,1.0,414.3,207.15
175,Moulin,Détection,DETPCA016,"Préventif d'un tube des capteurs atmosphériques (opacimètres, CO, NO, NO², smokecheck, anémomètres)",DEP016,direct_reference,4.0,1.0,1.0,6209.7,24838.8
176,Moulin,Détection,DETPLV027,Préventif luminancemètre,DEP027,direct_reference,1.0,2.0,1.0,24.15,48.3
177,Moulin,Détection,DETPDI100,Préventif détection incendie,DEP100,direct_reference,1.0,1.0,1.0,347.55,347.55
178,Moulin,Détection,DETPXA200,Préventif extincteur,DEP200,direct_reference,1.0,25.0,1.0,33.6,840.0
179,Moulin,Détection,DETPXB201,Préventif extincteur,DEP201,direct_reference,1.0,0.0,1.0,21.0,0.0
180,Moulin,Détection,DETPXC202,Préventif extincteur,DEP202,direct_reference,1.0,0.0,1.0,36.75,0.0
181,Moulin,Détection,DETPXD203,Préventif extincteur,DEP203,direct_reference,1.0,0.0,1.0,15.75,0.0
182,Moulin,Détection,DETPXE204,Préventif extincteur,DEP204,direct_reference,1.0,0.0,1.0,23.1,0.0
183,Moulin,Détection,DETPXF204,Préventif extincteur,DEP205,direct_reference,1.0,1.0,1.0,26.25,26.25
184,Moulin,Détection,DETPXG206,Préventif extincteur,DEP206,direct_reference,1.0,4.0,1.0,15.75,63.0
185,Moulin,Ventilation,VENPEE203,Préventif des équipements de ventilation,VPE203,direct_reference,1.0,1.0,1.0,10365.03,10365.03
186,Moulin,Ventilation,VENPQA300,Maintenance préventive des équipements spécifiques,VPT300,direct_reference,1.0,8.0,1.0,78.85,630.8
187,Moulin,Ventilation,VENPQB301,Maintenance préventive des équipements spécifiques,VPT301,direct_reference,1.0,0.0,1.0,128.27,0.0
188,Moulin,Ventilation,VENPQC302,Maintenance préventive des équipements spécifiques,VPT302,direct_reference,1.0,0.0,1.0,449.49,0.0
189,Moulin,Ventilation,VENPQE304,Maintenance préventive des équipements spécifiques,VPT304,direct_reference,1.0,0.0,1.0,12.58,0.0
190,Moulin,Ventilation,VENPQF305,Maintenance préventive des équipements spécifiques,VPT305,direct_reference,1.0,0.0,1.0,12.58,0.0
191,Moulin,Vidéo,VIDDAI102,Maintenance préventive de la DAI du sens 1,VI MP 102,sum_2,1.0,0.5,1.0,3341.64,1670.82
192,Moulin,Vidéo,VIDDAI103,Maintenance préventive de la DAI du sens 2,VI MP 103,sum_2,1.0,0.5,1.0,4234.36,2117.18
193,Moulin,Vidéo,VIDCAM302,Nettoyage des caméras sens intérieur sens 1,VI MP 302,sum_2,2.0,0.5,1.0,3174.6,3174.6
194,Moulin,Vidéo,VIDCAM303,Nettoyage des caméras sens intérieur sens 2,VI MP 303,sum_2,2.0,0.5,1.0,3174.6,3174.6
195,Moulin,Vidéo,VIDPCI400,Maintenance préventive des caméras en issues de secours,VI MP 400,direct_reference,1.0,0.5,1.0,201.81,100.91
196,Moulin,Pompage,POMIND204,Entretien des poteaux incendie,INP204,direct_reference,1.0,1.0,1.0,2590.0,2590.0
197,Moulin,Pompage,,,,direct_value,3.0,0.5,1.0,0.0,0.0
198,Moulin,Pompage,POMEPO600,Entretien d'une pompe,POE600,direct_reference,1.0,0.0,1.0,572.06,0.0
